,year,month,day,Date,DateTime,hora_inicio,cantidad_pasos,sentido_prov,vehiculo_liv,weekday,season,hour,holiday,non_working,time_of_day
44,2017,1,2,2017-01-02,2017-01-02 20:00:00,20,1978.0,0.4,0.26666666666666666,Monday,Summer,20,0,working,evening
45,2017,1,2,2017-01-02,2017-01-02 21:00:00,21,1604.0,0.45454545454545453,0.36363636363636365,Monday,Summer,21,0,working,evening
46,2017,1,2,2017-01-02,2017-01-02 22:00:00,22,1283.0,0.45454545454545453,0.36363636363636365,Monday,Summer,22,0,working,night
47,2017,1,2,2017-01-02,2017-01-02 23:00:00,23,959.0,0.38461538461538464,0.3076923076923077,Monday,Summer,23,0,working,night
48,2017,1,3,2017-01-03,2017-01-03 00:00:00,0,743.0,0.4,0.4,Tuesday,Summer,0,0,working,night
49,2017,1,3,2017-01-03,2017-01-03 01:00:00,1,457.0,0.5,0.2857142857142857,Tuesday,Summer,1,0,working,night
50,2017,1,3,2017-01-03,2017-01-03 02:00:00,2,307.0,0.4,0.4,Tuesday,Summer,2,0,working,night
51,2017,1,3,2017-01-03,2017-01-03 03:00:00,3,324.0,0.3333333333333333,0.3333333333333333,Tuesday,Summer,3,0,working,night
52,2017,1,3,2017-01-03,2017-01-03 04:00:00,4,466.0,0.4,0.4,Tuesday,Summer,4,0,working,night
53,2017,1,3,2017-01-03,2017-01-03 05:00:00,5,967.0,0.46153846153846156,0.3076923076923077,Tuesday,Summer,5,0,working,night
54,2017,1,3,2017-01-03,2017-01-03 06:00:00,6,1985.0,0.42857142857142855,0.2857142857142857,Tuesday,Summer,6,0,working,night
55,2017,1,3,2017-01-03,2017-01-03 07:00:00,7,3145.0,0.42857142857142855,0.2857142857142857,Tuesday,Summer,7,0,working,morning
56,2017,1,3,2017-01-03,2017-01-03 08:00:00,8,3478.0,0.38461538461538464,0.3076923076923077,Tuesday,Summer,8,0,working,morning
57,2017,1,3,2017-01-03,2017-01-03 09:00:00,9,3331.0,0.42857142857142855,0.2857142857142857,Tuesday,Summer,9,0,working,morning
58,2017,1,3,2017-01-03,2017-01-03 10:00:00,10,3344.0,0.38461538461538464,0.3076923076923077,Tuesday,Summer,10,0,working,morning
59,2017,1,3,2017-01-03,2017-01-03 11:00:00,11,3145.0,0.38461538461538464,0.3076923076923077,Tuesday,Summer,11,0,working,morning
60,2017,1,3,2017-01-03,2017-01-03 12:00:00,12,3021.0,0.46153846153846156,0.3076923076923077,Tuesday,Summer,12,0,working,morning
61,2017,1,3,2017-01-03,2017-01-03 13:00:00,13,2971.0,0.35714285714285715,0.2857142857142857,Tuesday,Summer,13,0,working,afternoon
62,2017,1,3,2017-01-03,2017-01-03 14:00:00,14,3113.0,0.38461538461538464,0.3076923076923077,Tuesday,Summer,14,0,working,afternoon
63,2017,1,3,2017-01-03,2017-01-03 15:00:00,15,2957.0,0.46153846153846156,0.3076923076923077,Tuesday,Summer,15,0,working,afternoon
64,2017,1,3,2017-01-03,2017-01-03 16:00:00,16,3123.0,0.38461538461538464,0.3076923076923077,Tuesday,Summer,16,0,working,evening
